id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
12508971,Big appartment (room),67741277,Kevin,,Bijlmer-Oost,52.322464483863165,4.971780573369085,Private room,35,14,0,,,1,0
16761395,Susan Amsterdam BnB,111244373,Susan,,Bijlmer-Oost,52.32281243094467,4.964293317174686,Private room,55,2,25,2017-10-28,2.43,1,357
14191656,"Big room A'dam SE, near park and 8 km from centre",18991270,Maria,,Bijlmer-Oost,52.314873930518964,4.986948652918569,Private room,45,4,6,2016-09-12,0.37,3,291
15963995,big bedroom with view on the park and water,47499392,Inge,,Bijlmer-Oost,52.321267152956445,4.988348802591025,Private room,55,2,9,2017-08-14,1.01,6,167
12850813,Great Apartment for families,70203818,Rachelle,,Bijlmer-Oost,52.31443490337085,4.9823508652376685,Entire home/apt,110,1,1,2016-05-13,0.05,1,0
20777194,Arena,148886206,Edimilson,,Bijlmer-Oost,52.323254140170604,4.972236809198867,Entire home/apt,100,2,6,2017-10-26,1.96,1,26
18005501,New apartment 15 min from center,46171946,Gererd,,Bijlmer-Oost,52.31965074099233,4.978875664786219,Entire home/apt,65,1,35,2017-10-29,4.47,2,89
21070432,A small cosy room in a lovely spacious house,72364281,Tatjana,,Bijlmer-Oost,52.31152627133442,4.974685679930705,Private room,45,1,9,2017-11-29,4.74,1,147
20840641,Nice private double bedroom in shared flat,149528289,Genesio,,Bijlmer-Oost,52.31584828118847,4.965331767423267,Private room,50,2,16,2017-11-26,6.00,1,4
16154724,Spacious room in the vibrant area of Amsterdam,96074261,Mirthe,,Bijlmer-Oost,52.32043447658104,4.964132667992989,Private room,180,1,2,2017-06-18,0.30,3,0
10479859,House with view on the river!,54015357,Martijn,,Noord-Oost,52.387271962868404,4.956628002582922,Entire home/apt,255,1,0,,,1,0
19888153,Bed & Breakfast Zunderdorp,140775798,Wilco,,Noord-Oost,52.41176335255411,4.954368359403136,Private room,75,2,23,2017-12-03,5.52,1,333
19997342,"Quiet, childfriendly and centrally located.",121446002,Annemieke,,Noord-Oost,52.40743312004935,4.933981846092577,Private room,125,1,5,2017-11-26,4.55,1,13
17769751,Amsterdam apartment within Ring A10 free parking,115318695,Pat,,Noord-Oost,52.4029642112968,4.9364125335587685,Private room,83,1,16,2017-06-05,1.87,7,0
